Name,Author,Cover,Status
The Years of Rice and Salt,Kim Stanley Robinson,List%209537d1445cb54b84ad9623a4f69cb1ac/TheYearsofRiceandSalt.jpg,Upcoming
Afterland,Lauren Beukes,List%209537d1445cb54b84ad9623a4f69cb1ac/37946417.jpg,Upcoming
The Fascinating World of Graph Theory,"Benjamin, Chartrand, Zhang",List%209537d1445cb54b84ad9623a4f69cb1ac/image.jpg,Upcoming
The Gene,Siddhatha Mukherjee,List%209537d1445cb54b84ad9623a4f69cb1ac/image%201.jpg,Upcoming
The Computer Book,Garfunkel & Grunspan,List%209537d1445cb54b84ad9623a4f69cb1ac/TheComputerBook.jpg,Upcoming
Marathon,Hal Higdon,List%209537d1445cb54b84ad9623a4f69cb1ac/Marathon.jpg,Upcoming
Norse Mythology,Neil Gaiman,List%209537d1445cb54b84ad9623a4f69cb1ac/NorseMythology.jpg,Upcoming
Dune,Frank Hebert,https://m.media-amazon.com/images/I/41UZeCEKOBL.jpg,In Progress
The Stand,Stephen King,List%209537d1445cb54b84ad9623a4f69cb1ac/TheStand.jpg,In Progress
"Guns, Germs, and Steel",Jared Diamond,List%209537d1445cb54b84ad9623a4f69cb1ac/GunsGermsandSteel.jpg,In Progress
American Psycho,Brett Easton Ellis,List%209537d1445cb54b84ad9623a4f69cb1ac/American_Psycho.jpg,Upcoming
Alan Turing - The Enigma,Andrew Hodges,List%209537d1445cb54b84ad9623a4f69cb1ac/AlanTuring-TheEnigma.jpg,Upcoming
The Library Book,Susan Orlean,List%209537d1445cb54b84ad9623a4f69cb1ac/The_Library_Book.jpg,Completed
Speaker for the Dead,Orson Scott Card,List%209537d1445cb54b84ad9623a4f69cb1ac/Speaker_for_the_Dead.jpg,Completed
Nightfall,"Isaac Asimov, Robert Silverber",List%209537d1445cb54b84ad9623a4f69cb1ac/Nightfall.jpg,Completed
"Godel, Escher, Bach",Douglas Hofstader,List%209537d1445cb54b84ad9623a4f69cb1ac/GEB.jpg,Completed
A Dream About Lightning Bugs,Ben Folds,List%209537d1445cb54b84ad9623a4f69cb1ac/A_Dream_About_Lightning_Bugs.jpg,Completed
Misery,Stephen King,List%209537d1445cb54b84ad9623a4f69cb1ac/Misery.jpg,Completed
SPQR,Mary Beard,List%209537d1445cb54b84ad9623a4f69cb1ac/SPQR.jpg,Completed
'Salem's Lot,Stephen King,List%209537d1445cb54b84ad9623a4f69cb1ac/SalemsLot.jpg,Completed
Hello World,Hannah Fry,List%209537d1445cb54b84ad9623a4f69cb1ac/HelloWorld.jpg,Completed
Genome: The Autobiography of a Species in 23 Chapters,Matt Ridley,List%209537d1445cb54b84ad9623a4f69cb1ac/genome.jpg,Completed
How Music Worries,David Byrne,List%209537d1445cb54b84ad9623a4f69cb1ac/image%202.jpg,Upcoming
